CONGLOME,VIVIENDA,HOGAR,UBIGEO,POBREZA,POBREZAV,GASHOG2D,FACTOR07,recibe_pension65,tamano_hogar,n_65mas,tiene_65mas,NBI1,NBI2,NBI3,NBI4,NBI5,pct_miembros_con_seguro,algun_miembro_sin_seguro,gasto_salud_hogar
015245,052,12,021101,3,3,25384.654296875,281.693450927734,0.0,3,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,1719.0
015245,052,22,021101,2,2,21089.1328125,281.693450927734,0.0,4,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,766.0
015249,016,11,021808,3,4,13398.71875,608.461791992188,0.0,1,0,False,0.0,0.0,0.0,0.0,0.0,0.0,True,16.0
015249,037,11,021808,3,3,16314.8828125,608.461791992188,0.0,2,1,True,0.0,0.0,0.0,0.0,0.0,0.5,True,241.0
015249,080,11,021808,3,4,33236.828125,608.461791992188,0.0,2,0,False,0.0,0.0,0.0,0.0,0.0,0.5,True,3157.0
015249,101,11,021808,3,3,25926.21875,608.461791992188,0.0,3,1,True,0.0,0.0,0.0,0.0,0.0,1.0,False,703.0
015249,125,11,021808,3,4,33420.92578125,608.461791992188,0.0,3,1,True,0.0,0.0,0.0,0.0,0.0,1.0,False,1169.0
015249,144,13,021808,3,4,22715.8984375,608.461791992188,0.0,2,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,139.0
015249,144,23,021808,3,4,42650.23828125,608.461791992188,0.0,3,0,False,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,True,5918.0
015249,144,33,021808,3,3,17299.236328125,608.461791992188,0.0,2,0,False,0.0,0.0,0.0,0.0,0.0,0.5,True,42.0
015275,005,11,021801,3,4,36385.77734375,98.3941040039063,0.0,3,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,7384.0
015275,006,11,021801,3,3,21413.1875,98.3941040039063,0.0,3,1,True,0.0,0.0,0.0,0.0,0.0,1.0,False,690.0
015275,007,11,021801,3,3,36650.19921875,98.3941040039063,0.0,5,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,3148.0
015275,008,11,021801,3,3,85324.1328125,98.3941040039063,0.0,10,3,True,0.0,0.0,0.0,0.0,0.0,0.9,True,4985.0
015275,097,11,021801,3,3,15125.1689453125,98.3941040039063,0.0,2,2,True,0.0,0.0,0.0,0.0,0.0,1.0,False,169.0
015275,098,11,021801,3,3,6985.69677734375,98.3941040039063,0.0,1,1,True,0.0,0.0,0.0,0.0,0.0,1.0,False,63.0
015275,100,11,021801,3,3,30601.400390625,98.3941040039063,0.0,4,0,False,0.0,0.0,0.0,0.0,0.0,0.75,True,372.0
015275,101,11,021801,2,2,15052.0654296875,98.3941040039063,0.0,4,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,1036.0
015281,024,11,020105,3,4,54415.875,177.006576538086,0.0,4,0,False,0.0,0.0,0.0,0.0,0.0,0.75,True,1391.0
015281,041,11,020105,3,4,19808.421875,177.006576538086,0.0,1,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,401.0
015281,058,11,020105,3,4,63119.27734375,177.006576538086,0.0,4,2,True,0.0,0.0,0.0,0.0,0.0,0.75,True,18775.0
015281,076,11,020105,3,4,28103.33203125,177.006576538086,0.0,2,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,593.0
015281,093,11,020105,3,4,70090.828125,177.006576538086,0.0,4,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,4871.0
015281,128,11,020105,3,4,107188.2265625,177.006576538086,0.0,5,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,5609.0
015281,161,11,020105,3,4,18545.3828125,177.006576538086,0.0,2,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,825.0
015291,011,11,020105,3,3,25304.7109375,557.662719726563,0.0,4,0,False,0.0,0.0,1.0,0.0,0.0,0.0,True,3493.0
015291,037,11,020105,2,2,6028.3310546875,557.662719726563,1.0,3,2,True,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,True,278.0
015291,050,11,020105,2,2,9809.6650390625,557.662719726563,0.0,3,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,521.0
015291,077,11,020105,3,4,39285.13671875,557.662719726563,0.0,4,2,True,0.0,0.0,1.0,0.0,0.0,0.75,True,11105.0
015291,090,11,020105,3,3,21391.05859375,557.662719726563,0.0,3,1,True,0.0,0.0,0.0,0.0,0.0,1.0,False,3281.0
015291,103,11,020105,3,3,30393.0234375,557.662719726563,0.0,4,2,True,0.0,0.0,0.0,0.0,0.0,1.0,False,3048.0
015304,006,11,022001,3,4,43154.72265625,557.662719726563,0.0,3,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,140.0
015304,022,11,022001,2,2,4055.87646484375,557.662719726563,1.0,1,1,True,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0
015304,053,11,022001,3,4,27064.13671875,557.662719726563,0.0,2,0,False,0.0,0.0,0.0,0.0,0.0,0.5,True,531.0
015304,069,11,022001,3,4,114981.546875,557.662719726563,0.0,5,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,7709.6806640625
015304,085,11,022001,3,4,53778.921875,557.662719726563,0.0,5,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,3096.0
015304,102,11,022001,3,4,62305.8828125,557.662719726563,0.0,7,2,True,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,True,6157.0
015323,009,11,020702,3,3,20668.595703125,217.248901367188,0.0,3,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,573.0
015323,017,11,020702,3,3,14307.7958984375,217.248901367188,1.0,3,1,True,0.0,0.0,0.0,0.0,0.0,1.0,False,171.0
015323,027,11,020702,3,3,19835.908203125,217.248901367188,0.0,3,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,1539.0
